Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
ITI Mid Cap Fund-Reg(G),Rohan Korde,EQ-MID,Unrated,1091.6,2.07,Open Ended,05-Mar-21,Nifty Midcap 150 - TRI,19.48,22.79,17.56,1.66,0.93,-7.81,1.39,29.75,22.28,-,-,138,78,51700,18.12,58.78,16.99,Financials,-,-,-,0.12,0.29,0.56,0.97,17.31,Equity : Mid Cap,1% on or before 12M Nil after 12M
ITI Multi-Cap Fund-Reg(G),Dhimant Shah,EQ-MLC,Unrated,1116.4,2.03,Open Ended,15-May-19,Nifty500 Multicap 50:25:25 - TRI,21.68,25.39,19.39,3.61,0.92,-7.83,-0.23,23.44,18.68,19.01,-,107,66,100774,54.33,15,27,Financials,1.44,1.32,4.12,0.16,0.25,0.45,0.97,15.75,Equity : Multi Cap,1% on or before 3M Nil after 3M
ITI Overnight Fund-Reg(G),Laukik Bagwe,DT-ON,Unrated,12.0,0.18,Open Ended,24-Oct-19,CRISIL Liquid Overnight Index,1294.22,1294.22,1218.53,0.46,1.42,3.00,6.23,6.34,6.04,4.83,-,0,-,-,-,-,-,-,-,-,6.82,-0.02,2.70,0.82,0.87,0.20,Debt : Overnight,Nil
ITI Pharma & Healthcare Fund-Reg(G),Rohan Korde,EQ-PHRM,Unrated,213.8,2.35,Open Ended,08-Nov-21,Nifty Healthcare Index - TRI,15.80,17.60,13.04,1.43,0.29,-5.27,16.50,30.13,18.63,-,-,61,39,61218,48.33,15.43,34.19,Healthcare,-,-,-,0.06,0.26,0.50,0.91,15.30,Equity : Sectoral - Pharma,1% on or before 12M Nil after 12M
ITI Small Cap Fund-Reg(G),Dhimant Shah,EQ-SML,Unrated,2219.2,1.96,Open Ended,17-Feb-20,Nifty Smallcap 250 - TRI,25.86,30.40,22.98,2.14,1.16,-7.82,4.20,31.96,23.78,28.37,-,112,79,23294,10.5,19.46,65.41,Financials,-,-,-,0.51,0.29,0.51,0.87,18.51,Equity : Small Cap,1% on or before 12M Nil after 12M
ITI Ultra Short Duration Fund-Reg(G),Laukik Bagwe,DT-USD,Unrated,180.3,0.95,Open Ended,05-May-21,CRISIL Ultra Short Term Debt Index,1224.49,1224.49,1147.29,0.72,1.84,3.42,6.74,6.59,6.04,-,-,0,-,-,-,-,-,-,0.49,0.47,7.09,-0.16,1.27,0.81,1.05,0.44,Debt : Ultra Short Duration,Nil
ITI Value Fund-Reg(G),Rohan Korde,EQ-VAL,Unrated,297.7,2.37,Open Ended,14-Jun-21,NIFTY 500 - TRI,15.38,18.04,14.03,1.52,0.35,-8.10,-3.95,20.76,18.09,-,-,140,67,76741,44.17,10.09,39.5,Financials,-,-,-,0.23,0.24,0.46,1.02,15.61,Equity : Value / Contra,1% on or before 3M Nil after 3M
JM Aggressive Hybrid Fund(G),Asit Bhandarkar,HY-EQ,Unrated,767.7,2.29,Open Ended,01-Apr-95,CRISIL Hybrid 35+65 - Aggressive Index,115.10,130.54,108.28,1.86,0.60,-7.38,1.65,25.48,20.56,26.30,11.99,138.15,37,130342,51.1,6.24,18.51,Financials,-,-,-,0.52,0.34,0.65,1.15,12.81,Hybrid : Equity Oriented,1% on or before 60D Nil after 60D
JM Arbitrage Fund(G),Asit Bhandarkar,HY-ARB,Unrated,186.6,1.07,Open Ended,18-Jul-06,Nifty 50 Arbitrage,32.34,32.34,30.27,0.62,1.70,3.34,6.81,6.97,6.28,4.76,5.24,1123.95,87,171902,52.63,15.84,6.49,Energy,0.14,-,-,0.03,1.07,0.88,0.62,0.56,Hybrid : Arbitrage,0.50% on or before 30D
JM Dynamic Bond Fund-Reg(G),Killol Pandya,DT-DYN,Unrated,47.5,0.97,Open Ended,25-Jun-03,CRISIL Dynamic Bond Index,41.68,41.70,37.52,2.14,4.09,6.07,11.35,8.39,7.50,6.43,6.91,0,-,-,-,-,-,-,9.96,6.75,6.52,-0.38,0.53,1.28,1.33,1.80,Debt : Dynamic Bond,Nil
JM ELSS Tax Saver Fund(G),Deepak Gupta,EQ-ELSS,Unrated,183.6,2.37,Open Ended,31-Mar-08,BSE 500 - TRI,45.14,53.07,41.74,1.14,-0.40,-8.49,3.21,24.69,18.81,25.22,14.82,92.75,50,106119,54.16,11.98,30.69,Financials,-,-,-,0.26,0.24,0.46,1.02,15.80,Equity : Tax Saving (ELSS),Nil
JM Flexicap Fund-Reg(G),Satish Ramanathan,EQ-FLEX,3,5263.2,1.81,Open Ended,23-Sep-08,BSE 500 - TRI,93.93,109.69,86.28,3.25,-1.16,-9.32,1.88,29.16,23.68,26.80,16.10,159.27,46,136272,62.8,11.04,21.03,Financials,-,-,-,0.59,0.31,0.60,1.03,16.24,Equity : Flexi Cap,1% on or before 30D Nil after 30D
JM Focused Fund-Reg(G),Asit Bhandarkar,EQ-LC,Unrated,246.6,2.37,Open Ended,05-Mar-08,BSE 500 - TRI,18.58,21.56,17.32,-0.21,-0.68,-9.07,-1.73,22.86,18.30,20.38,12.43,190.77,28,153163,68.57,12.84,15.39,Financials,-,-,-,0.31,0.25,0.46,0.94,14.92,Equity : Large Cap,1% on or before 30D Nil after 30D
JM Large Cap Fund-Reg(G),Deepak Gupta,EQ-LC,Unrated,490.7,2.37,Open Ended,01-Apr-95,BSE 100 - TRI,145.26,168.70,134.34,1.77,0.76,-8.11,-2.07,19.10,15.14,17.88,10.31,283.34,43,325603,91.63,4.92,2.01,Financials,-,-,-,0.08,0.20,0.39,0.99,14.23,Equity : Large Cap,1% on or before 30D Nil after 30D
JM Liquid Fund(G),Killol Pandya,DT-LIQ,2,2680.2,0.26,Open Ended,31-Dec-97,CRISIL Liquid Debt Index,70.52,70.52,65.82,0.58,1.77,3.52,7.17,7.18,6.75,5.38,6.25,0,-,-,-,-,-,-,0.12,0.11,6.46,-0.02,2.60,0.95,1.05,0.28,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
JM Low Duration Fund(G),Killol Pandya,DT-LOWD,4,227.1,0.73,Open Ended,27-Sep-06,CRISIL Low Duration Debt Index,36.68,36.68,34.02,0.96,2.30,4.02,7.86,7.31,6.56,9.52,6.29,0,-,-,-,-,-,-,1.04,0.92,6.96,-0.20,1.17,0.89,1.26,0.60,Debt : Low Duration,Nil
JM Medium to Long Duration Fund-Reg(G),Killol Pandya,DT-M&LD,Unrated,22.9,1.06,Open Ended,01-Apr-95,CRISIL Medium to Long Term Debt Index,61.99,62.06,56.09,1.94,3.59,5.57,10.80,8.14,7.07,5.41,4.16,0,-,-,-,-,-,-,9.12,6.67,6.44,-0.04,0.35,0.66,0.79,2.42,Debt : Medium to Long Duration,Nil
JM Midcap Fund-Reg(G),Satish Ramanathan,EQ-MID,Unrated,1261.1,2.12,Open Ended,21-Nov-22,Nifty Midcap 150 - TRI,17.62,20.86,16.05,2.48,0.52,-8.97,3.18,31.32,-,-,-,185.58,45,41778,8.24,63.52,23.83,Financials,-,-,-,0.26,0.37,0.73,0.99,16.90,Equity : Mid Cap,1% on or before 180D Nil after 180D
JM Overnight Fund-Reg(G),Killol Pandya,DT-ON,1,98.8,0.15,Open Ended,03-Dec-19,CRISIL Liquid Overnight Index,1297.55,1297.55,1219.53,0.47,1.46,3.10,6.42,6.54,6.24,4.99,-,0,-,-,-,-,-,-,0.01,0.01,6.00,-0.03,2.83,0.87,0.99,0.21,Debt : Overnight,Nil
JM Short Duration Fund-Reg(G),Killol Pandya,DT-SD,Unrated,121.0,1.09,Open Ended,29-Aug-22,CRISIL Short Duration Debt Index,11.94,11.94,10.98,1.45,2.92,4.56,8.81,7.21,-,-,-,0,-,-,-,-,-,-,2.98,2.46,6.74,-0.14,0.83,1.05,1.49,0.95,Debt : Short Duration,Nil
JM Small Cap Fund-Reg(G),Asit Bhandarkar,EQ-SML,Unrated,594.1,2.34,Open Ended,18-Jun-24,Nifty Smallcap 250 - TRI,9.15,11.06,8.29,1.96,-1.39,-12.33,-,-,-,-,-,-,56,11620,-,6.5,90.35,Financials,-,-,-,-,-,-,-,-,Equity : Small Cap,1% on or before 180D Nil after 180D
JM Value Fund(G),Satish Ramanathan,EQ-VAL,3,987.9,2.24,Open Ended,02-Jun-97,BSE 500 - TRI,91.94,110.82,83.65,3.79,-0.98,-10.73,-0.80,28.02,23.40,27.99,15.88,117.84,51,82805,50.61,13.7,35.34,Financials,-,-,-,0.56,0.29,0.56,1.06,16.94,Equity : Value / Contra,1% on or before 30D Nil after 30D
Kotak Balanced Advantage Fund-Reg(G),Rohit Tandon,HY-DYN,3,16542.2,1.66,Open Ended,03-Aug-18,NIFTY 50 Hybrid Composite Debt 50:50 Index,19.97,20.46,17.96,2.85,3.03,1.12,9.98,14.09,11.89,14.34,-,242.38,109,227540,53.27,9.76,5.56,Financials,11.80,5.68,7.10,0.20,0.27,0.54,0.53,7.28,Hybrid : Dynamic Asset Allocation,Nil upto 8% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Banking & Financial Services Fund-Reg(G),Shibani Kurian,EQ-FIN,Unrated,1119.8,2.17,Open Ended,27-Feb-23,Nifty Financial Services - TRI,14.82,15.20,12.45,3.41,9.74,2.22,12.36,17.58,-,-,-,28.26,28,317945,75.54,10.01,10.81,Financials,-,-,-,0.10,0.31,0.68,0.94,13.67,Equity : Sectoral - Financial Services,0.50% on or before 30D Nil after 30D
Kotak Banking and PSU Debt Fund(G),Deepak Agrawal,DT-B&PSU,4,6011.3,0.75,Open Ended,29-Dec-98,CRISIL Banking and PSU Debt Index,64.95,64.95,59.34,1.54,3.12,4.82,9.52,8.06,7.17,6.85,7.57,0,-,-,-,-,-,-,5.35,3.58,7.28,-0.16,0.64,1.01,1.20,1.33,Debt : Banking & PSU,Nil
Kotak Bluechip Fund(G),Rohit Tandon,EQ-LC,4,9424.0,1.74,Open Ended,04-Feb-03,NIFTY 100 - TRI,549.60,596.44,492.41,3.46,4.13,-0.96,9.15,19.32,15.12,21.47,12.56,29.23,59,343321,83.17,8,3.93,Financials,-,-,-,0.14,0.21,0.41,0.92,13.00,Equity : Large Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Bond Fund-Reg(G),Abhishek Bisen,DT-M&LD,3,2031.3,1.65,Open Ended,25-Nov-99,CRISIL Medium to Long Term Debt Index,76.78,76.82,69.78,1.74,3.37,4.88,10.30,8.14,7.24,6.21,6.78,0,-,-,-,-,-,-,12.86,6.55,6.91,0.01,0.41,0.85,0.68,2.13,Debt : Medium to Long Duration,NIL
Kotak Bond Short Term Fund(G),Deepak Agrawal,DT-SD,4,16681.4,1.12,Open Ended,02-May-02,Nifty Short Duration Debt Index,51.76,51.76,47.45,1.47,3.01,4.68,9.17,7.78,6.79,6.26,7.02,0,-,-,-,-,-,-,4.39,2.93,7.28,-0.05,0.56,0.85,1.36,1.34,Debt : Short Duration,Nil
Kotak BSE Housing Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,16.0,0.72,Open Ended,28-Aug-23,BSE Housing - TRI,12.70,15.04,11.60,2.75,1.26,-6.96,-0.75,-,-,-,-,60.13,24,79042,45.75,54.52,-,Construction,-,-,-,-0.10,0.16,0.29,1.35,19.75,Equity : Index Funds,Nil
Kotak BSE PSU Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,73.2,1.02,Open Ended,31-Jul-24,BSE PSU - TRI,8.27,10.00,7.05,2.70,4.63,-5.48,-,-,-,-,-,13.87,63,176787,74.38,22.1,3.72,Energy,-,-,-,-,-,-,-,-,Equity : Index Funds,Nil
Kotak BSE Sensex ETF,Devender Singhal,EQ-ETF,Unrated,26.9,0.18,Open Ended,06-Jun-08,BSE SENSEX - TRI,86.92,92.47,77.41,3.66,4.63,0.51,8.79,15.65,13.31,20.04,12.58,13.99,30,669835,99.51,0.47,-,Financials,-,-,-,-0.02,0.17,0.34,1.00,12.76,Equity : ETFs,NIL
Kotak BSE Sensex Index Fund-Reg(G),Devender Singhal,EQ-INDX,Unrated,8.6,0.31,Open Ended,17-Feb-25,BSE SENSEX - TRI,10.60,10.60,9.60,3.86,-,-,-,-,-,-,-,6.66,30,669870,98.9,0.47,-,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,NIL
Kotak Business Cycle Fund-Reg(G),Harish Bihani,EQ-THEM,Unrated,2493.0,1.97,Open Ended,28-Sep-22,NIFTY 500 - TRI,14.89,16.63,13.15,3.89,1.14,-3.61,11.71,21.94,-,-,-,42.96,52,91182,48.76,22.4,25.87,Financials,-,-,-,0.03,0.27,0.50,0.93,13.16,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Consumption Fund-Reg(G),Devender Singhal,EQ-CONS,Unrated,1171.5,2.13,Open Ended,16-Nov-23,Nifty India Consumption - TRI,12.69,14.92,11.06,3.02,-0.80,-5.30,13.21,-,-,-,-,27.45,40,89986,52.75,20.25,26.42,FMCG,-,-,-,-0.02,0.23,0.42,0.99,16.41,Equity : Thematic - Consumption,0.50% on or before 90D Nil after 90D
Kotak Corporate Bond Fund(G),Deepak Agrawal,DT-CORP,2,14638.8,0.67,Open Ended,21-Sep-07,NIFTY Corporate Bond Index,3745.43,3745.43,3414.58,1.55,3.18,4.95,9.78,8.29,7.25,6.76,7.46,0,-,-,-,-,-,-,4.44,3.19,7.31,0.12,0.69,1.01,0.37,1.27,Debt : Corporate Bond,Nil
Kotak Credit Risk Fund(G),Deepak Agrawal,DT-CR,3,709.4,1.71,Open Ended,11-May-10,CRISIL Credit Risk Debt Index,29.04,29.04,26.95,1.39,2.65,3.98,7.73,7.45,6.32,6.32,6.80,0,-,-,-,-,-,-,2.98,2.37,8.57,-0.04,0.21,0.30,0.46,2.14,Debt : Credit Risk,Nil upto 6% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak CRISIL-IBX AAA Bond Financial Services Index - Dec 2026 Fund-Reg(G),Abhishek Bisen,DT-SD,Unrated,62.4,0.30,Open Ended,17-Feb-25,CRISIL IBX AAA Financial Services Index - Sep 2027,10.23,10.23,10.00,1.17,-,-,-,-,-,-,-,0,-,-,-,-,-,-,1.46,1.29,7.41,-,-,-,-,-,Debt : Short Duration,NIL
Kotak CRISIL-IBX AAA Financial Services Index - Sep 2027 Fund-Reg(G),Abhishek Bisen,DT-M&LD,Unrated,412.1,0.40,Open Ended,13-Sep-24,CRISIL IBX AAA Financial Services Index - Sep 2027,10.61,10.61,10.00,1.34,2.87,4.58,-,-,-,-,-,0,-,-,-,-,-,-,2.26,1.91,7.65,-,-,-,-,-,Debt : Medium to Long Duration,0.25% on or before 30D Nil after 30D
Kotak CRISIL-IBX Financial Services 3-6 Months Debt Index Fund-Reg(G),Manu Sharma,DT-USD,Unrated,634.9,0.35,Open Ended,07-Mar-25,CRISIL-IBX Financial Services 3 to 6 Months Debt Index,10.14,10.14,10.00,0.77,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0.36,0.34,7.32,-,-,-,-,-,Debt : Ultra Short Duration,NIL
Kotak Debt Hybrid Fund(G),Shibani Kurian,HY-DT(CO),5,3017.1,1.66,Open Ended,02-Dec-03,CRISIL Hybrid 85+15 - Conservative Index,57.95,58.20,52.60,2.00,2.89,2.55,9.62,12.73,10.64,12.37,9.60,0,42,172315,16.15,3.75,3.07,Financials,18.48,8.12,7.15,0.06,0.37,0.86,1.25,4.78,Hybrid : Debt Oriented (Conservative),Nil upto 8% of investments and 1% for remaining investments on or before 6M Nil after 6M
Kotak Dynamic Bond Fund-Reg(G),Deepak Agrawal,DT-DYN,4,2825.6,1.33,Open Ended,28-May-08,NIFTY Composite Debt Index,37.61,37.63,33.83,1.98,3.69,4.87,11.40,8.95,7.53,6.94,8.02,0,-,-,-,-,-,-,19.35,8.96,7.10,0.01,0.38,0.88,0.73,2.50,Debt : Dynamic Bond,Nil
Kotak ELSS Tax Saver Fund(G),Harsha Upadhyaya,EQ-ELSS,3,5862.6,1.78,Open Ended,23-Nov-05,NIFTY 500 - TRI,110.11,123.71,99.03,3.53,2.58,-4.74,2.77,19.52,16.07,23.10,13.81,30.03,55,209859,68.75,19.47,9.06,Financials,-,-,-,0.06,0.21,0.38,0.94,14.25,Equity : Tax Saving (ELSS),Nil
Kotak Emerging Equity Fund(G),Atul Bhole,EQ-MID,4,48128.7,1.46,Open Ended,30-Mar-07,Nifty Midcap 150 - TRI,120.56,137.75,108.11,2.21,-0.13,-7.57,9.78,25.25,18.48,29.25,16.97,41.2,66,50460,17.52,67.08,14.34,Healthcare,-,-,-,-0.06,0.24,0.45,0.89,16.18,Equity : Mid Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Energy Opportunities Fund-Reg(G),Harsha Upadhyaya,EQ-POWER,Unrated,-,-,Open Ended,-,NIFTY ENERGY - TRI,10.02,10.02,10.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : Sectoral - Energy / Power,Nil upto 10% of investments and 1% for remaining investments on or before 1Y Nil after 1Y
Kotak Equity Arbitrage Fund(G),Hiten Shah,HY-ARB,4,60373.2,1.05,Open Ended,29-Sep-05,Nifty 50 Arbitrage,37.15,37.15,34.54,0.68,1.92,3.72,7.46,7.73,6.96,5.67,6.00,2032.6,190,212325,49.55,13.91,2.9,Financials,0.57,0.57,7.03,0.07,1.36,1.03,0.66,0.58,Hybrid : Arbitrage,0.25% on or before 30D Nil after 30D
Kotak Equity Hybrid Fund(G),Atul Bhole,HY-EQ,5,6795.0,1.77,Open Ended,03-Nov-14,NIFTY 50 Hybrid Composite Debt 65:35 Index,58.38,63.32,52.95,2.30,0.86,-3.51,9.02,17.59,13.80,21.01,12.27,69.79,56,149354,47.08,21.37,7.88,Financials,19.19,8.50,7.05,0.22,0.23,0.44,0.77,11.00,Hybrid : Equity Oriented,Nil upto 8% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Equity Opp Fund(G),Harsha Upadhyaya,EQ-L&M,3,24912.7,1.61,Open Ended,09-Sep-04,NIFTY LargeMidcap 250 - TRI,317.26,355.58,288.48,2.19,2.72,-4.65,4.26,22.40,17.79,24.11,14.78,22.27,67,155385,53.46,37.76,5.94,Financials,-,-,-,0.08,0.25,0.46,0.91,14.29,Equity : Large & Mid Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Equity Savings Fund(G),Devender Singhal,HY-EQ,2,8043.3,1.76,Open Ended,13-Oct-14,NIFTY 50 Equity Savings Index - TRI,25.37,25.75,23.57,2.04,2.35,1.45,6.69,12.78,10.86,12.08,9.15,449.4,95,184773,48.18,16.26,5.84,Financials,2.43,1.99,7.06,0.29,0.35,0.76,0.35,5.16,Hybrid : Equity Oriented,Nil upto 8% of investments and 1% for remaining investments on or before 90D Nil after 90D
Kotak ESG Exclusionary Strategy Fund-Reg(G),Mandar Pawar,EQ-THEM,Unrated,847.6,2.28,Open Ended,11-Dec-20,NIFTY100 ESG - TRI,16.25,18.25,14.88,2.87,4.07,-3.36,4.63,16.90,12.15,-,-,11.92,43,242479,76.84,18.11,3.51,Financials,-,-,-,-0.06,0.13,0.23,0.98,14.56,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Flexicap Fund(G),Harsha Upadhyaya,EQ-FLEX,2,49130.0,1.47,Open Ended,11-Sep-09,NIFTY 500 - TRI,79.90,85.84,71.59,3.37,4.54,-0.06,7.20,20.30,16.01,21.27,13.69,10.95,57,228863,70.16,21.94,5.39,Financials,-,-,-,0.07,0.21,0.41,0.94,13.99,Equity : Flexi Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Floating Rate Fund-Reg(G),Deepak Agrawal,DT-FL,4,3218.1,0.63,Open Ended,14-May-19,NIFTY Ultra Short Duration Debt Index,1494.82,1494.82,1369.92,1.34,2.83,4.51,9.09,8.22,7.14,7.17,-,0,-,-,-,-,-,-,4.55,1.72,7.64,0.15,0.76,0.90,0.25,1.11,Debt : Floater,Nil
Kotak Focused Equity Fund-Reg(G),Shibani Kurian,EQ-MLC,Unrated,3335.5,1.90,Open Ended,16-Jul-19,NIFTY 500 - TRI,23.56,26.41,21.55,2.84,3.59,-3.28,6.56,19.16,13.90,21.03,-,36.21,28,272162,77.93,16.72,3.79,Financials,-,-,-,-0.08,0.18,0.33,0.93,13.85,Equity : Multi Cap,Nil upto 10% of investment and 1% for remaining investment on or before 1Y Nil after 1Y
Kotak Gilt Fund-PF&Trust(G),Abhishek Bisen,DT-GILT,3,3934.2,1.48,Open Ended,11-Nov-03,Nifty All Duration G-Sec Index,100.03,100.22,89.83,2.16,4.18,5.42,11.79,8.78,7.89,6.21,7.45,0,-,-,-,-,-,-,28.66,11.66,7.01,0.06,0.42,0.98,0.69,2.50,Debt : Gilt,Nil
Kotak Gilt Fund-Reg(G),Abhishek Bisen,DT-GILT,3,3934.2,1.48,Open Ended,29-Dec-98,Nifty All Duration G-Sec Index,97.78,97.96,87.81,2.16,4.18,5.42,11.78,8.78,7.89,6.21,7.43,0,-,-,-,-,-,-,28.66,11.66,7.01,0.06,0.42,0.98,0.69,2.50,Debt : Gilt,Nil
Kotak Global Emerging Mkt Fund(G),Arjun Khanna,FOF-OVR,Unrated,87.8,1.62,Open Ended,26-Sep-07,MSCI Emerging Market Index,22.67,24.41,20.31,-1.12,-1.13,-2.31,4.68,8.73,5.07,8.36,3.87,3.43,-,-,-,-,-,-,-,-,-,-0.21,-,0.01,0.34,13.57,FoFs : Overseas,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Kotak Global Innovation FoF-Reg(G),Arjun Khanna,FOF-OVR,Unrated,479.9,1.58,Open Ended,29-Jul-21,MSCI AC World Index,9.63,11.05,8.56,0.94,-11.33,-7.14,4.52,11.49,10.58,-,-,1.85,-,-,-,-,-,-,-,-,-,-0.22,0.06,0.09,0.80,20.04,FoFs : Overseas,1% on or before 1Y Nil after 1Y
Kotak Gold ETF,Abhishek Bisen,GOLD-ETF,Unrated,7167.1,0.55,Open Ended,27-Jul-07,Gold-India,78.84,82.70,57.78,5.74,15.44,17.67,30.02,23.58,20.54,13.91,12.10,27.18,1,-,-,-,-,-,-,-,-,0.85,0.34,0.85,1.01,12.34,Gold : ETFs,Nil
Kotak Gold Fund(G),Abhishek Bisen,GOLD-MF,Unrated,2834.9,0.50,Open Ended,25-Mar-11,Gold-India,36.48,38.40,27.08,6.00,15.57,17.68,29.01,23.27,20.34,12.89,11.85,0.1,1,-,-,-,-,-,-,-,-,0.89,0.34,0.88,0.83,12.02,Gold : MFs,1% on or before 15D Nil after 15D
Kotak Healthcare Fund-Reg(G),Shibani Kurian,EQ-PHRM,Unrated,411.5,2.39,Open Ended,11-Dec-23,Nifty Healthcare Index - TRI,12.92,14.42,10.84,1.82,-0.71,-3.52,14.85,-,-,-,-,38.54,28,61017,56.04,12.94,29.29,Healthcare,-,-,-,-0.28,0.27,0.51,1.00,16.90,Equity : Sectoral - Pharma,0.50% on or before 30D Nil after 30D
Kotak Income Plus Arbitrage FOF-Reg(G),Abhishek Bisen,FOF-DOM,Unrated,775.8,0.30,Open Ended,17-Nov-22,NIFTY Composite Debt Index,12.21,12.21,11.04,1.19,2.65,4.36,11.11,8.73,-,-,-,-,-,-,-,-,-,-,-,-,6.46,0.22,0.96,1.26,0.33,1.33,FoFs : Domestic,Nil
Kotak India EQ Contra Fund(G),Shibani Kurian,EQ-VAL,2,3934.5,1.88,Open Ended,27-Jul-05,NIFTY 500 - TRI,139.97,158.68,127.90,2.16,2.21,-5.73,4.51,25.05,19.66,25.55,14.86,38.07,61,154569,60.56,20.51,16.7,Financials,-,-,-,0.36,0.28,0.55,0.99,14.81,Equity : Value / Contra,1% on or before 90D Nil after 90D
Kotak Infra & Eco Reform Fund(G),Nalin Rasik Bhatt,EQ-INFRA,3,2132.7,2.02,Open Ended,25-Feb-08,Nifty Infrastructure - TRI,59.07,72.77,52.28,2.48,-3.01,-11.57,-3.82,22.42,21.79,31.21,14.86,21.47,53,50108,41.07,17.85,40.31,Automobile and Ancillaries,-,-,-,0.31,0.28,0.49,0.92,17.60,Equity : Sectoral - Infrastructure,0.50% on or before 90D Nil after 90D
Kotak International REIT FOF-Reg(G),Arjun Khanna,FOF-OVR,Unrated,42.4,1.36,Open Ended,29-Dec-20,S&P Asia Pacific ex Japan REIT - TRI,9.70,10.76,8.75,2.50,2.19,-2.57,7.66,1.49,-1.39,-,-,4.57,-,-,-,-,-,-,-,-,-,-1.42,-0.07,-0.13,3.52,18.21,FoFs : Overseas,Nil upto 8% of units and 1% for remaining units on or before 1Y Nil after 1Y
Kotak Liquid Fund-Reg(G),Deepak Agrawal,DT-LIQ,4,31250.9,0.31,Open Ended,04-Nov-03,Nifty Liquid Fund Index,5224.13,5224.13,4872.61,0.59,1.81,3.56,7.24,7.21,6.76,5.39,6.22,0,-,-,-,-,-,-,0.20,0.20,7.03,0.16,2.41,0.95,0.30,0.31,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Kotak Long Duration Fund-Reg(G),Abhishek Bisen,DT-LD,Unrated,151.4,0.62,Open Ended,11-Mar-24,NIFTY Long Duration Debt Index,11.23,11.25,9.97,2.22,4.46,5.80,13.25,-,-,-,-,0,-,-,-,-,-,-,24.59,11.44,6.98,-0.20,0.59,1.44,1.37,3.45,Debt : Long Duration,Nil
Kotak Low Duration Fund(G),Deepak Agrawal,DT-LOWD,5,11266.2,1.17,Open Ended,06-Mar-08,CRISIL Long Duration Debt Index,3309.15,3309.15,3072.11,0.98,2.29,3.89,7.71,7.26,6.57,6.13,6.98,0,-,-,-,-,-,-,1.71,0.98,7.57,0.05,0.95,0.86,0.76,0.74,Debt : Low Duration,Nil
Kotak Manufacture in India Fund-Reg(G),Harsha Upadhyaya,EQ-THEM,Unrated,2266.1,1.98,Open Ended,22-Feb-22,Nifty India Manufacturing - TRI,17.21,19.84,15.33,1.49,2.08,-5.41,2.98,23.41,18.10,-,-,20.67,56,81313,50.36,29.06,18.06,Automobile and Ancillaries,-,-,-,-0.10,0.26,0.50,0.93,14.85,Equity : Thematic,0.50% on or before 90D Nil after 90D
Kotak Medium Term Fund(G),Deepak Agrawal,DT-MD,3,1766.0,1.63,Open Ended,21-Mar-14,CRISIL Medium Duration Debt Index,22.50,22.50,20.50,1.56,2.91,4.34,9.83,8.33,7.02,7.42,7.12,0,1,-,-,-,-,-,5.24,3.56,8.18,0.06,0.46,0.88,0.49,1.73,Debt : Medium Duration,Nil
Kotak MNC Fund-Reg(G),Harsha Upadhyaya,EQ-MNC,Unrated,2092.7,2.00,Open Ended,28-Oct-24,NIFTY MNC - TRI,9.28,10.36,8.61,3.06,-2.17,-6.97,-,-,-,-,-,-,42,86922,48.4,21.66,23.11,FMCG,-,-,-,-,-,-,-,-,Equity : Thematic - MNC,0.50% on or before 90D Nil after 90D
